Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-L-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,49.17,50.08,24.79,70.81,35.39,41.79,2020,19
IR-L-U-0217,Christ University,Bengaluru,Karnataka,48.01,50.51,18.36,54.32,65.82,49.04,2020,20
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,77.21,85.16,38.77,78.96,76.02,100.0,2019,1
IR-L-U-0111,National Law University,New Delhi,Delhi,76.23,92.3,52.69,66.34,73.12,75.2,2019,2
IR-L-N-18,Nalsar University of Law,Hyderabad,Telangana,74.61,84.3,38.49,83.37,72.57,70.2,2019,3
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,69.81,78.37,73.22,65.42,64.6,46.57,2019,4
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,65.39,73.61,35.25,68.16,69.34,66.89,2019,5
IR-L-U-0414,National Law University,Jodhpur,Rajasthan,63.94,71.62,34.27,77.92,66.17,40.55,2019,6
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,60.68,61.86,17.19,81.93,76.91,51.84,2019,7
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.49,62.15,51.04,64.4,72.66,35.98,2019,8
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,58.64,69.79,22.62,66.9,70.2,35.98,2019,9
IR-L-U-0386,The Rajiv Gandhi National University of Law,Patiala,Punjab,55.53,63.31,29.01,60.35,71.75,35.98,2019,10
IR-L-U-0285,National Law Institute University,Bhopal,Madhya Pradesh,53.41,58.83,24.95,61.67,56.95,50.15,2019,11
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.96,77.73,23.83,35.46,63.42,30.86,2019,12
IR-L-U-0103,Indian Law Institute,New Delhi,Delhi,52.42,63.74,19.87,49.86,49.25,65.73,2019,13
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,52.39,65.54,0.0,79.41,48.8,14.36,2019,14
