Institute ID,Name,City,State,Score,QNR,QLR,SFC,OI,PERCEPTION,Year,Year_rank
IR-R-U-0713,Academy of Scientific & Innovative Research,Ghaziabad,Uttar Pradesh,51.18,62.03,42.87,74.82,43.32,4.21,2021,22
IR-R-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,50.88,54.84,38.19,65.77,53.14,45.07,2021,23
IR-R-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,49.81,36.6,40.43,84.02,56.77,42.22,2021,24
IR-R-U-0042,University of Hyderabad,Hyderabad,Telangana,49.25,46.28,34.95,75.67,58.2,39.45,2021,25
IR-R-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,48.86,57.62,46.5,52.25,55.87,15.79,2021,26
IR-R-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,48.73,41.77,36.53,73.81,64.78,40.02,2021,27
IR-R-U-0078,Panjab University,Chandigarh,Chandigarh,48.71,36.48,48.18,64.17,53.04,51.77,2021,28
IR-R-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,48.29,44.15,38.59,65.47,64.92,38.87,2021,29
IR-R-U-0108,Jamia Millia Islamia,New Delhi,Delhi,48.28,40.4,35.91,75.02,71.97,31.93,2021,30
IR-R-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,48.0,51.08,40.5,58.62,51.63,36.48,2021,31
IR-R-U-0439,Anna University,Chennai,Tamil Nadu,47.87,42.19,34.4,58.54,51.46,80.3,2021,32
IR-R-U-0570,Calcutta University,Kolkata,West Bengal,47.74,38.4,35.48,81.52,60.89,31.93,2021,33
IR-R-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,46.72,48.6,37.61,51.55,52.9,52.61,2021,34
IR-R-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,45.91,46.99,32.85,56.78,62.86,43.02,2021,35
IR-R-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,44.76,38.52,34.45,62.06,58.8,45.82,2021,36
IR-R-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,44.51,46.65,33.28,68.38,51.22,17.28,2021,37
IR-R-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,44.17,41.53,41.99,52.34,55.91,30.53,2021,38
IR-R-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,44.14,50.34,31.97,53.54,63.35,24.02,2021,39
IR-R-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,43.91,46.61,29.08,58.28,64.95,30.53,2021,40
IR-R-U-0574,"Indian Statistical Institute, Kolkata",Kolkata,West Bengal,43.32,45.04,27.91,49.31,54.43,61.43,2021,41
IR-R-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bangalore,Karnataka,43.03,46.09,23.91,46.16,68.59,59.35,2021,42
IR-R-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,42.98,45.46,39.08,46.7,54.09,28.72,2021,43
IR-R-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,41.54,40.21,29.08,54.25,70.75,28.35,2021,44
IR-R-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,41.16,40.16,29.98,51.97,65.67,31.59,2021,45
IR-R-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,40.16,28.91,41.76,51.76,58.13,27.97,2021,46
IR-R-U-0064,Indian Institute of Technology Patna,Patna,Bihar,39.99,44.34,26.61,49.63,53.25,34.59,2021,47
IR-R-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,39.44,44.84,27.01,52.35,49.82,24.43,2021,48
IR-R-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,38.96,38.99,27.27,51.95,62.9,24.02,2021,49
IR-R-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,38.53,36.98,29.11,57.76,57.4,14.24,2021,50
