Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR17-I-2-18607,Calicut University,Calicut,Kerala,38.45,50.3,8.81,72.68,57.08,4.74,2017,57
IR17-I-2-1-448,Mizoram University,Aizwal,Mizoram,38.36,52.31,5.27,70.52,69.93,0.03,2017,58
IR17-I-2-1-373,Kurukshetra University,Kurushetra,Haryana,38.26,43.43,13.44,79.64,50.37,2.33,2017,59
IR17-I-2-10933,Shiv Nadar University,Chithera,Uttar Pradesh,37.95,59.15,9.43,47.7,73.23,5.24,2017,60
IR17-I-2-21078,Symbiosis International University,Pune,Maharashtra,37.67,44.8,8.92,60.44,80.33,14.31,2017,61
IR17-I-2-1-N002,KLE Academy of Higher Education and Research,Belagavi,Karnataka,37.25,64.13,4.9,49.61,65.54,0.69,2017,62
IR17-I-2-1-2809340824,University of Jammu,Jammu Tawi,Jammu And Kashmir,37.23,44.96,17.36,71.1,42.5,0.59,2017,63
IR17-I-2-18200,Goa University-Goa,Goa,Goa,37.16,43.69,11.65,68.15,64.16,5.09,2017,64
IR17-I-2-1-11112,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,Chennai,Tamil Nadu,37.13,45.32,20.13,43.86,72.48,14.69,2017,65
IR17-I-2-18305,Kalyani University,Kalyani,West Bengal,36.84,34.93,20.54,79.69,42.61,0.02,2017,66
IR17-I-2-18356,Mahatma Gandhi Unversity,Kottayam,Kerala,36.79,39.81,15.3,73.72,52.78,2.43,2017,67
IR17-I-2-18446,Rajasthan University of Veterinary & Animal Sciences,Bikaner,Rajasthan,36.78,58.97,1.52,61.19,63.32,0.6,2017,68
IR17-I-2-1-663,Sri Sathya Sai Institute of Higher Learning,Anantapur,Andhra Pradesh,36.75,53.99,3.64,61.44,70.84,0.94,2017,69
IR17-I-2-1-445,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,36.47,56.87,2.75,59.66,66.49,0.09,2017,70
IR17-I-2-18312,Karunya Institute of Technology and Sciences-Coimbatore,Coimbatore,Tamil Nadu,36.44,38.08,14.77,60.31,77.36,7.82,2017,71
IR17-I-2-1-2812766280,Dayalbagh Educational Institute,Agra,Uttar Pradesh,36.36,51.44,6.21,46.9,81.21,15.65,2017,72
IR17-I-2-1-351,University of Kashmir,Srinagar,Jammu And Kashmir,36.32,47.85,16.74,66.95,35.44,0.1,2017,73
IR17-I-2-1-159,Dibrugarh University,Dibrugarh,Assam,36.28,43.38,8.35,69.95,66.98,0.68,2017,74
IR17-I-2-18406,Nirma University,Ahmedabad,Gujarat,36.21,41.98,9.96,64.47,63.01,14.37,2017,75
IR17-I-2-18449,Rajiv Gandhi University,Rono Hills,Arunachal Pradesh,36.15,54.28,3.43,56.43,74.78,0.57,2017,76
IR17-I-2-18342,Madurai Kamraj University,Madurai,Tamil Nadu,36.04,43.14,25.87,47.93,54.17,3.33,2017,77
IR17-I-2-1-670,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,35.92,60.66,1.04,61.23,51.62,0.05,2017,78
IR17-I-2-1-570,Rajasthan University,Jaipur,Rajasthan,35.85,25.62,16.98,89.05,51.99,0.64,2017,79
IR17-I-2-18110,Guru Nanak Dev University,Amritsar,Punjab,35.83,28.85,25.31,72.44,46.25,4.65,2017,80
IR17-I-2-1-321,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,35.69,35.72,13.91,62.84,78.44,3.91,2017,81
IR17-I-2-12969,Guru Gobind Singh Indraprastha University,Dwarka,Delhi,35.6,42.18,14.29,58.33,66.52,3.37,2017,82
IR17-I-2-1-653,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,35.5,60.12,4.67,35.08,86.23,4.34,2017,83
IR17-I-2-18407,NITTE University,Mangalore,Karnataka,35.5,56.23,4.89,46.39,74.89,3.95,2017,83
IR17-I-2-18422,Periyar University,Salem,Tamil Nadu,35.44,38.13,17.6,59.46,62.4,5.85,2017,85
IR17-I-2-18161,Cochin University of Science and Technology,Cochin,Kerala,35.42,40.34,16.39,62.76,56.64,1.89,2017,86
IR17-I-2-15640,Vidyasagar University,Midnapore,West Bengal,35.23,35.35,14.01,73.13,57.86,0.03,2017,87
IR17-I-2-30492,Bharathidasan University,Tiruchirappalli,Tamil Nadu,35.14,39.08,27.22,46.39,51.66,8.03,2017,88
IR17-I-2-1-2812182676,Gandhi Institute of Technology and Management (GITAM),Visakhapatnam,Andhra Pradesh,35.09,44.03,8.2,59.86,59.22,15.35,2017,89
IR17-I-2-18311,Karpagam Academy of Higher Education,Coimbatore,Tamil Nadu,34.86,50.69,8.94,51.21,63.92,3.39,2017,90
IR17-I-2-12265,The Gandhigram Rural Institute - Deemed University,Gandhigram,Tamil Nadu,34.56,39.88,15.06,58.14,57.62,6.91,2017,91
IR17-I-2-277952,Assam University-Silchar,Silchar,Assam,34.38,45.75,12.09,56.02,52.53,5.65,2017,92
IR17-I-2-18296,Jaypee University of Information Technology-Solan,Solan,Himachal Pradesh,34.14,33.76,13.92,60.56,74.6,2.61,2017,93
IR17-I-2-1-541,PES University,Bengaluru,Karnataka,33.94,42.31,5.84,60.61,60.1,13.75,2017,94
IR17-I-2-18551,University of Allahabad,Allahabad,Uttar Pradesh,33.86,22.61,17.9,77.84,58.61,2.84,2017,95
IR17-I-2-1-N001,Sri Krishnadevaraya University,Anantapur,Andhra Pradesh,33.76,34.29,7.72,77.37,56.81,0.04,2017,96
IR17-I-2-18168,Alagappa University,Karaikudi,Tamil Nadu,33.66,38.56,18.92,49.32,61.29,4.17,2017,97
IR17-I-2-18385,Narsee Monjee Institute of Management Studies -Mumbai,Mumbai,Maharashtra,33.6,40.46,8.45,63.88,55.34,6.1,2017,98
IR17-I-1-18289,Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,33.44,36.81,14.03,60.18,57.19,4.32,2017,99
IR17-I-2-1-57,B.S. Abdur Rahman Institute of Science and Technology,Chennai,Tamil Nadu,32.99,42.56,6.33,56.98,63.08,6.07,2017,100
