Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,45.11,77.38,7.61,62.46,63.71,7.56,2019,70
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,44.89,55.99,24.33,66.89,54.61,19.51,2019,71
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,44.88,47.92,26.63,73.31,59.3,19.25,2019,72
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,44.88,62.46,23.6,69.63,44.79,6.51,2019,72
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,44.7,67.17,19.07,63.8,57.15,3.58,2019,74
IR-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,44.66,76.97,19.74,56.22,40.93,3.19,2019,75
IR-O-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,44.46,63.69,12.61,61.03,49.95,43.66,2019,76
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,44.45,69.46,14.05,61.53,64.61,6.15,2019,77
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,44.35,62.4,22.97,63.44,52.92,7.56,2019,78
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,44.19,59.82,18.33,79.2,47.36,1.63,2019,79
IR-O-U-0235,Mysore University,Mysore,Karnataka,44.06,57.3,18.15,78.43,52.67,4.7,2019,80
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,43.69,46.51,29.38,74.72,54.02,5.8,2019,81
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,43.65,70.01,9.43,61.03,72.88,3.19,2019,82
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,43.63,68.83,11.68,64.22,65.21,1.22,2019,83
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,43.53,50.11,28.3,65.48,61.94,7.22,2019,84
IR-O-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,43.49,54.72,29.47,56.97,44.88,23.47,2019,85
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,43.41,60.74,29.05,48.92,42.77,24.17,2019,86
IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,43.22,50.4,11.67,84.87,72.01,4.33,2019,87
IR-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,42.89,63.91,11.42,64.49,60.23,13.66,2019,88
IR-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,42.36,76.87,6.91,56.41,57.5,2.02,2019,89
IR-O-U-0251,Calicut University,Malappuram,Kerala,42.22,56.32,16.46,71.53,53.45,7.22,2019,90
IR-O-C-41593,College of Engineering,Pune,Maharashtra,42.11,56.36,20.52,61.36,52.28,15.42,2019,91
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,41.73,75.46,3.16,60.57,59.48,0.82,2019,92
IR-O-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,41.59,47.06,28.96,64.01,47.7,12.14,2019,93
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,41.42,47.22,26.88,64.8,47.56,14.84,2019,94
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,41.21,56.39,18.96,64.62,53.19,3.58,2019,95
IR-O-U-0123,Anand Agricultural University,Anand,Gujarat,41.2,69.48,12.25,59.12,41.45,7.22,2019,96
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,40.99,52.3,20.74,59.13,53.26,19.25,2019,97
IR-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,40.92,71.23,8.73,49.52,66.05,4.33,2019,98
IR-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,40.88,70.98,8.01,62.85,44.12,2.02,2019,99
IR-O-U-0239,NITTE,Mangaluru,Karnataka,40.88,70.38,9.31,48.61,66.11,6.51,2019,99
